ID,Name,Category,Type,Rating,Download Link,Download Size,Download OS
"2318","Musyng Kite Standard Drums","Drumkits","GM drum kit","2.889","https://plugins4free.com/get_plug/Musyng_Kite_Standard_Drums_-_64.zip","14.8","Windows x64"
"2314","Sonatina Oboe","Brass/Wind","Oboe","3.75","https://plugins4free.com/get_plug/Sonatina_Oboe_-_64.zip","22.8","Windows x64"
"2333","FS Blues Steel Guitar","Guitar/Bass","Acoustic guitar","3.441","https://plugins4free.com/get_plug/FS_Blues_Steel_Guitar_-_64.zip","45.8","Windows x64"
"2315","Cute Emily Guitar","Guitar/Bass","Electric guitar","null","https://plugins4free.com/get_plug/Karoryfer_Cute_Emily_Guitar_-_64.zip","20.9","Windows x64"
"2273","BassTard","Monophonic","Monophonic bass synth","4.111","https://plugins4free.com/get_plug/hawk-vst-basstard-v1.zip","3.2","Windows x86"
"2332","Sonatina Xylophone","orchestral","Xylophone","3.75","https://plugins4free.com/get_plug/Sonatina_Xylophone_-_64.zip","4.7","Windows x64"
"2309","Sonatina Bassoon","Brass/Wind","Bassoon","4","https://plugins4free.com/get_plug/Sonatina_Bassoon_-_64.zip","32.9","Windows x64"
"2397","Knuckle Head","Guitar/Amp","Guitar amp head","4.333","https://plugins4free.com/get_plug/KnuckleHead.zip","2.2","Windows x86"
"2311","Sonatina Clarinet","Brass/Wind","Clarinet","2.6","https://plugins4free.com/get_plug/Sonatina_Clarinet_-_64.zip","29.3","Windows x64"
"2330","Sonatina Percussion","orchestral","Classical percussion set","4.4","https://plugins4free.com/get_plug/Sonatina_Percussion_-_64.zip","20.5","Windows x64"
"2379","Feldspar","Seq/Arp","Arpeggiator / modulation synth","4.8","https://plugins4free.com/get_plug/feldspar.zip","3.8","Windows x86"
"2390","30 Band Graphic EQ","EQ","Graphic EQ","3.923","https://plugins4free.com/get_plug/30bandEQ1.05.zip","1.8","Windows x86"
"2343","T-Rex Delay Mini Advanced","Delay/Echo","Tempo-sync delay","4","https://plugins4free.com/get_plug/T-Rex-Delay-Mini-Advanced-v1.02.zip","3.9","Windows x86"
"2381","Pterosaur","Analog","16 osc supersaw synth","4","https://plugins4free.com/get_plug/pterosaur_v2.zip","2.2","Windows x86"
"2380","RPS-1","Groove/seq","Pattern sequencing sampler","4.833","https://plugins4free.com/get_plug/rps-1.zip","7","Windows x86"
"2377","Nero","Monophonic","Mono sequencer synth","4.789","https://plugins4free.com/get_plug/MaxSynths_Nero1.1.zip","5.3","Windows x86"
"2388","Strummer","Guitar/Bass","Guitar strummer","3.813","https://plugins4free.com/get_plug/MS3.5.1.zip","17.4","Windows x86"
"2347","Gravel","Lo-fiFx","Bitcrusher / Distortion / Env follower","4.5","https://plugins4free.com/get_plug/Gravel_x64.zip","null","Windows x64"
"2378","Crisalys","Seq/Arp","Pattern sequencer synth","4.889","https://plugins4free.com/get_plug/MaxSynths_Crisalys.zip","6.6","Windows x86"
"2303","Sonatina Double Bass ","Piano/Strings","Double bass ","3.5","https://plugins4free.com/get_plug/Sonatina_Double_Bass_-_64.zip","19.6","Windows x64"
"2324","ATKChorus","Modulation","Chorus","null","https://plugins4free.com/get_plug/ATKChorus_x64.zip","0.7","Windows x64"
"2321","ATKSideChainExpander","Dynamics","Sidechain / MS expander","3.333","https://plugins4free.com/get_plug/ATKSideChainExpander_x64.zip","1.4","Windows x64"
"2382","Leto","Synthesizers","Jen SX-1000 emulation","3.75","https://plugins4free.com/get_plug/leto.zip","1.1","Windows x86"
"2376","DR-910","Drum_machines","TR-909 emulation","4.5","https://plugins4free.com/get_plug/MaxSynths_DR-910.zip","8.1","Windows x86"
"2357","Full Synthestra","Analog","2 osc analog synth","3","https://plugins4free.com/get_plug/fullsynthestra_v0138.zip","0.7","Windows x86"
"2312","Sonatina Flute","Brass/Wind","Flute / Piccolo","null","https://plugins4free.com/get_plug/Sonatina_Flute_-_64.zip","47","Windows x64"
"2368","M-EQ","Mastering/Strip","Mastering equalizer","3.444","https://plugins4free.com/get_plug/SamsaraCycleAudio__Samsara_M-EQ_Equalizer_FR.zip","2.8","Windows x86"
"2364","Mantra","Analog","2 osc analog synth","4.667","https://plugins4free.com/get_plug/SamsaraCycleAudio__Samsara_Mantra_v2_FR.zip","3.4","Windows x86"
"2384","Foxglove","Monophonic","Dynamic waveshaping synth","4.5","https://plugins4free.com/get_plug/foxglove.zip","1.2","Windows x86"
